hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
A6o,0.583375,0.5659,0.03495,0.39915,0.3814499999999995,0.3618,0.04105,0.59715,0.2741541666666666,0.2558,0.0391,0.7051,0.2135183333333332,0.1961,0.03765,0.76625,0.1743041666666667,0.1581,0.03515,0.80675
QJo,0.58245,0.57125,0.0224,0.40635,0.4101583333333323,0.39805,0.0268,0.57515,0.3271333333333332,0.3148,0.02715,0.65805,0.26778999999999975,0.256,0.0261,0.7179,0.22671666666666665,0.2155,0.025,0.7595
A5o,0.5818,0.56255,0.0385,0.39895,0.38104166666666606,0.3595,0.04495,0.59555,0.2776291666666666,0.25875,0.04025,0.701,0.21818166666666652,0.19895,0.04155,0.7595,0.18288750000000015,0.16525,0.0384,0.79635
A2s,0.581725,0.56255,0.03835,0.3991,0.3899166666666661,0.37095,0.03965,0.5894,0.2924291666666666,0.2753,0.03625,0.68845,0.24584666666666627,0.2298,0.0349,0.7353,0.20359166666666675,0.188,0.03365,0.77835
QTo,0.5817,0.56835,0.0267,0.40495,0.396924999999999,0.38375,0.02885,0.5874,0.3120541666666666,0.29905,0.0285,0.67245,0.2510499999999997,0.23815,0.0285,0.73335,0.2170500000000001,0.2043,0.0281,0.7676
Q9s,0.57925,0.5651,0.0283,0.4066,0.4018916666666658,0.3875,0.03115,0.58135,0.3175583333333332,0.3051,0.02735,0.66755,0.26708666666666625,0.2545,0.0283,0.7172,0.22589999999999996,0.21395,0.02685,0.7592
K7s,0.57835,0.5623,0.0321,0.4056,0.39095833333333263,0.3751,0.03345,0.59145,0.2969541666666665,0.2813,0.034,0.6847,0.2470399999999997,0.23165,0.0341,0.73425,0.20904166666666682,0.1945,0.03205,0.77345
K9o,0.5768,0.56305,0.0275,0.40945,0.38968333333333244,0.37565,0.03035,0.594,0.29775416666666654,0.2838,0.0304,0.6858,0.23004833333333308,0.21645,0.03005,0.7535,0.19457083333333333,0.18135,0.0291,0.78955
JTs,0.5765,0.5625,0.028,0.4095,0.41633333333333267,0.40485,0.02535,0.5698,0.3363166666666666,0.3244,0.0263,0.6493,0.28805083333333287,0.27615,0.02695,0.6969,0.2504749999999999,0.2388,0.02615,0.73505
A4o,0.5738,0.55435,0.0389,0.40675,0.37027499999999947,0.34885,0.0447,0.60645,0.27144999999999986,0.25265,0.04015,0.7072,0.2139658333333332,0.1949,0.04145,0.76365,0.17560416666666676,0.15875,0.03665,0.8046
